Time	wtime	gpufbmem	gpumempct	gpusmpct	ngpus	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	rx_bytes	rx_packets	tx_bytes	tx_packets	stime	utime	nprocs	nthreads
1771723558	1	0	0	0	0	309525	627136	0	2383900	3975762	0	392	0	4806	21	1794	13	0	7	10	39
1771723559	2	0	0	0	0	83346	202268	0	1480000	3982355	0	444	0	5578	28	1794	13	0	12	8	37
1771723560	3	0	0	0	0	265904	589300	0	2396596	4002134	0	674	0	6788	36	2326	17	0	15	10	39
1771723561	4	0	0	0	0	261350	644816	0	2340816	4015320	0	816	0	9565	65	6610	31	0	19	9	34
1771723562	5	0	0	0	0	179816	336952	0	1705136	4015320	0	816	0	10301	75	6610	31	0	21	5	28
1771723563	6	0	0	0	0	260498	425192	0	2053744	4041692	0	1100	0	10937	84	6610	31	0	26	8	37
1771723564	7	0	0	0	0	81858	197708	0	1446624	4048285	0	1152	0	12510	99	7255	36	0	32	8	34
1771723565	8	0	0	0	0	178830	481396	0	1999604	4054878	0	1242	0	13335	107	7255	36	0	34	6	29
1771723566	9	0	0	0	0	253785	566444	0	2363388	4081250	0	1524	0	13757	114	7353	37	0	37	10	39
1771723567	10	0	0	0	0	282493	602632	0	2395940	4094436	0	1666	0	14576	122	7549	39	0	43	11	42
1771723568	11	0	0	0	0	177900	623880	0	2290152	4094436	0	1666	0	15102	130	7848	42	0	45	7	30
1771723569	12	0	0	0	0	268507	576644	0	2317380	4120808	0	1950	0	20312	154	9798	56	0	49	9	34
1771723570	13	0	0	0	0	82218	198864	0	1473164	4127401	0	2002	0	21607	162	12528	61	0	53	8	37
1771723571	14	0	0	0	0	179800	484324	0	2005460	4133994	0	2092	0	22313	167	12528	61	0	55	6	29
1771723572	15	0	0	0	0	234570	549224	0	2387984	4160366	0	2374	0	23017	170	12528	61	0	59	10	42
1771723573	16	0	0	0	0	251731	634840	0	2337676	4173552	0	2514	0	24236	185	15438	77	0	65	9	36
1771723574	17	0	0	0	0	180298	337920	0	1707088	4173552	0	2514	0	30484	198	16208	80	0	68	5	28
1771723575	18	0	0	0	0	261612	575312	0	2369244	4199924	0	2796	0	32571	224	26921	94	0	73	10	39
1771723576	19	0	0	0	0	81726	197376	0	1470232	4206517	0	2846	0	35266	244	31258	107	0	78	8	37
1771723577	20	0	0	0	0	178333	479920	0	1996664	4213110	0	2936	0	35937	254	32413	111	0	80	6	29
1771723578	21	0	0	0	0	261792	575476	0	2383092	4239482	0	3216	0	36596	264	33298	114	1	85	10	42
1771723579	22	0	0	0	0	176955	483368	0	2077892	4246075	0	3268	0	41177	279	34217	118	1	96	8	31
1771723580	23	0	0	0	0	241767	699288	0	2629276	4265854	0	3498	0	46170	311	38896	139	1	96	9	35
1771723581	24	0	0	0	0	278526	593556	0	2351436	4279040	0	3638	0	62018	461	604379	197	1	99	11	38
1771723582	25	0	0	0	0	179375	629744	0	2301880	4279040	0	3638	0	63095	472	604621	199	1	100	7	30
1771723583	26	0	0	0	0	262517	579508	0	2359160	4305412	0	3918	0	64301	480	604621	199	1	105	9	36
1771723584	27	0	0	0	0	140779	161716	0	1496924	4312005	0	3970	0	69519	507	614710	216	1	111	9	40
1771723585	28	0	0	0	0	180352	633660	0	2309688	4318598	0	4058	0	73963	529	621450	227	1	113	7	30
1771723586	29	0	0	0	0	254264	565960	0	2360460	4344970	0	4338	0	93519	575	632381	252	1	118	10	39
1771723587	30	0	0	0	0	82402	202416	0	1484572	4351563	0	4390	0	96110	588	632980	258	1	123	9	38
1771723588	31	0	0	0	0	179323	482864	0	2002532	4358156	0	4478	0	96760	592	632980	258	1	128	6	29
1771723589	32	0	0	0	0	274279	588108	0	2365340	4384528	0	4760	0	102236	615	634633	269	1	133	10	39
1771723590	33	0	0	0	0	179815	484304	0	2005460	4384528	0	4760	0	102998	619	634633	269	1	135	6	29
1771723591	34	0	0	0	0	234534	402748	0	2066976	4410900	0	5042	0	104327	626	634633	269	1	140	9	38
1771723592	35	0	0	0	0	279343	595564	0	2389100	4424086	0	5182	0	105627	634	634633	269	1	146	11	42
1771723593	36	0	0	0	0	180352	633676	0	2309688	4424086	0	5182	0	106465	638	634633	269	1	148	7	30
1771723594	37	0	0	0	0	251403	567980	0	2397748	4450458	0	5464	0	107471	650	634885	271	1	152	10	42
